pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
edu---home	1	3	11	3	7	3	3	6	2	1	2	0	19
edu---leisure	3	6	6	10	8	9	3	3	4	3	4	5	19
home---edu	2	13	14	22	19	9	13	4	7	7	6	4	24
home---hospital	23	22	16	9	5	5	7	3	1	0	2	0	5
home---work	10	21	15	19	21	16	21	9	10	7	13	9	86
leisure---home	1	3	8	6	4	5	3	1	4	4	6	3	35
shopping---work	252	3	1	1	0	0	0	0	0	0	0	0	0
work---home	7	16	10	13	12	16	13	18	17	9	7	9	110
work---shopping	253	1	0	1	0	2	0	0	0	0	0	0	0

average leg duration: 2045.7160988643955 seconds = 00:34:05
